product,semantic_group,label,score,manual_score
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Health,0.13,-1
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Immersion,0.12,0
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Entertainment,0.13,0
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Order,0.17,-1
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Sociability,0.12,0
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Aesthetics,0.11,0
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Self-Expression,0.14,0
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Safety,0.12,1
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Efficiency,0.24,1
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Relaxation,0.16,1
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Ritual,0.26,1
线缆管理器,And then I havemy cable management that I just orderedfrom Amazon that came in yesterday.,Health,0.07,0
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Immersion,0.3,1
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Entertainment,0.34,1
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Order,0.21,0
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Sociability,0.26,1
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Aesthetics,0.25,0
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Self-Expression,0.23,0
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Safety,0.3,1
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Efficiency,0.19,0
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Relaxation,0.27,1
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Ritual,0.33,0
鼠标垫,"Um, I feel like theblue kind of matches my mouse pad, so itdoesn't really matter., I hate the feeling of a wrist rest onme.",Health,0.32,1
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Immersion,0.19,0
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Entertainment,0.17,0
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Order,0.09,0
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Sociability,0.1,-1
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Aesthetics,0.19,-1
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Self-Expression,0.09,0
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Safety,0.04,0
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Efficiency,0.18,0
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Relaxation,0.03,0
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Ritual,0.1,-1
灯带/灯效,"You need to geton TikTok and figure out the bestlighting setups for when you'restreaming or for webcams or whatever,and you're going to get just right.",Health,0.01,0
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Immersion,0.21,1
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Entertainment,0.31,1
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Order,0.14,0
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Sociability,0.22,1
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Aesthetics,0.27,1
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Self-Expression,0.27,0
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Safety,0.18,1
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Efficiency,0.15,0
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Relaxation,0.18,1
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Ritual,0.23,-1
显示器支架,"Now, for my monitor arm, I love thismonitor arm down., But, it's likea gas spring um monitor arm, so it'sreally nice.",Health,0.22,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Immersion,0.29,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Entertainment,0.41,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Order,0.36,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Sociability,0.43,0
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Aesthetics,0.28,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Self-Expression,0.43,0
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Safety,0.26,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Efficiency,0.32,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Relaxation,0.35,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Ritual,0.42,1
充电器+桌子,"So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup. So, I really hope that you guysleave a like, you subscribe, and leave acomment about what's your favorite thingabout my desk setup.",Health,0.28,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Immersion,0.28,0
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Entertainment,0.36,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Order,0.23,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Sociability,0.3,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Aesthetics,0.24,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Self-Expression,0.29,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Safety,0.26,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Efficiency,0.29,1
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Relaxation,0.35,0
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Ritual,0.32,0
饮品/奶茶/咖啡/零食,"Sometimes I like to eat my food here., This is supposed to be a coffeeshop that I'm supposed to build, and Iclearly have not gotten back to it.",Health,0.35,1
笔记本电脑支架,I bought a alaptop riser or something.,Immersion,0.14,0
笔记本电脑支架,I bought a alaptop riser or something.,Entertainment,0.15,0
笔记本电脑支架,I bought a alaptop riser or something.,Order,0.04,0
笔记本电脑支架,I bought a alaptop riser or something.,Sociability,0.09,0
笔记本电脑支架,I bought a alaptop riser or something.,Aesthetics,0.18,1
笔记本电脑支架,I bought a alaptop riser or something.,Self-Expression,0.11,0
笔记本电脑支架,I bought a alaptop riser or something.,Safety,0.09,0
笔记本电脑支架,I bought a alaptop riser or something.,Efficiency,0.2,0
笔记本电脑支架,I bought a alaptop riser or something.,Relaxation,0.12,0
笔记本电脑支架,I bought a alaptop riser or something.,Ritual,0.25,-1
笔记本电脑支架,I bought a alaptop riser or something.,Health,0.12,1
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Immersion,0.23,1
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Entertainment,0.22,0
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Order,0.21,1
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Sociability,0.24,-1
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Aesthetics,0.24,1
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Self-Expression,0.25,0
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Safety,0.14,0
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Efficiency,0.16,0
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Relaxation,0.2,0
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Ritual,0.3,1
充电器,"So, until your girl canlike make some moola, if you want me tomake this into my manga show, subscribeand watch my videos., Subscribe and watch my videos.",Health,0.15,0
水杯,"So, I have like my uh like alittle mug",Immersion,0.24,1
水杯,"So, I have like my uh like alittle mug",Entertainment,0.31,1
水杯,"So, I have like my uh like alittle mug",Order,0.29,1
水杯,"So, I have like my uh like alittle mug",Sociability,0.33,1
水杯,"So, I have like my uh like alittle mug",Aesthetics,0.38,0
